1	36526.00						891	896	891	949
2	36527.00						911	915	957	1095
3	36528.00						920	925	1201	1255
4	36529.00						940	949	1316	1474
5	36530.00						957	963	1683	1813
6	36531.00						966	967	2004	2059
7	36532.00						977	983	2115	2157
8	36533.00						998	1031	2227	2238
9	36534.00						1035	1038	2316	2338
10	36535.00						1040	1048	2400	2429
11	36536.00						1057	1067	2451	2534
12	36537.00						1077	1081	2591	2622
13	36538.00						1085	1087	2678	2758
14	36539.00						1090	1095	2815	2894
15	36540.00						1107	1126	2980	3006
16	36541.00						1128	1130	3065	3077
17	36542.00						1154	1157	3127	3311
18	36543.00						1165	1166	3533	3712
19	36544.00						1201	1212	3861	3970
20	36545.00						1232	1235	4057	4073
21	36546.00						1247	1248	4181	4449
22	36547.00						1252	1255	4647	4778
23	36548.00						1276	1279	4949	4957
24	36549.00						1299	1307	4993	5061
25	36550.00						1316	1337	5094	5146
26	36551.00						1359	1431	5234	5235
27	36552.00						1439	1443	5331	5352
28	36553.00						1449	1458		
29	36554.00						1465	1474		
30	36555.00						1479	1481		
31	36556.00						1488	1494		
32	36557.00						1553	1559		
33	36558.00						1683	1686		
34	36559.00						1693	1694		
35	36560.00						1697	1699		
36	36561.00						1715	1785		
37	36562.00						1804	1813		
38	36563.00						1819	1821		
39	36564.00						1837	1872		
40	36565.00						1876	1878		
41	36566.00						1890	1893		
42	36567.00						1928	1950		
43	36568.00						2004	2012		
44	36569.00						2013	2016		
45	36570.00						2024	2026		
46	36571.00						2041	2050		
47	36572.00						2057	2059		
48	36573.00						2063	2064		
49	36574.00						2115	2125		
50	36575.00						2131	2149		
51	36576.00						2153	2157		
52	36577.00						2176	2178		
53	36578.00						2190	2192		
54	36579.00						2208	2209		
55	36580.00						2227	2238		
56	36581.00						2257	2260		
57	36582.00						2274	2282		
58	36583.00						2316	2332		
59	36584.00						2336	2338		
60	36585.00						2355	2357		
61	36586.00						2400	2429		
62	36587.00						2431	2433		
63	36588.00						2451	2466		
64	36589.00						2481	2489		
65	36590.00						2497	2519		
66	36591.00						2528	2534		
67	36592.00						2536	2538		
68	36593.00						2555	2558		
69	36594.00						2562	2563		
70	36595.00						2571	2575		
71	36596.00						2591	2602		
72	36597.00						2611	2617		
73	36598.00						2620	2622		
74	36599.00						2678	2689		
75	36600.00						2702	2726		
76	36601.00						2753	2754		
77	36602.00						2757	2758		
78	36603.00						2760	2762		
79	36604.00						2765	2766		
80	36605.00						2815	2818		
81	36606.00						2822	2831		
82	36607.00						2852	2875		
83	36608.00						2879	2894		
84	36609.00						2896	2901		
85	36610.00						2914	2937		
86	36611.00						2950	2959		
87	36612.00						2980	2993		
88	36613.00						2997	2998		
89	36614.00						3001	3006		
90	36615.00						3008	3010		
91	36616.00						3025	3027		
92	36617.00						3065	3077		
93	36618.00						3085	3086		
94	36619.00						3104	3116		
95	36620.00						3127	3142		
96	36621.00						3156	3157		
97	36622.00						3165	3178		
98	36623.00						3192	3201		
99	36624.00						3206	3209		
100	36625.00						3218	3228		
101	36626.00						3233	3238		
102	36627.00						3247	3251		
103	36628.00						3256	3262		
104	36629.00						3265	3267		
105	36630.00						3297	3311		
106	36631.00						3323	3329		
107	36632.00						3333	3336		
108	36633.00						3353	3357		
109	36634.00						3368	3372		
110	36635.00						3421	3422		
111	36636.00						3445	3448		
112	36637.00						3451	3452		
113	36638.00						3471	3492		
114	36639.00						3533	3568		
115	36640.00						3575	3608		
116	36641.00						3612	3615		
117	36642.00						3617	3620		
118	36643.00						3624	3627		
119	36644.00						3631	3632		
120	36645.00						3640	3647		
121	36646.00						3650	3652		
122	36647.00						3664	3670		
123	36648.00						3675	3682		
124	36649.00						3701	3712		
125	36650.00						3728	3733		
126	36651.00						3740	3747		
127	36652.00						3794	3799		
128	36653.00						3861	3881		
129	36654.00						3886	3891		
130	36655.00						3893	3895		
131	36656.00						3900	3904		
132	36657.00						3917	3922		
133	36658.00						3926	3928		
134	36659.00						3939	3946		
135	36660.00						3948	3950		
136	36661.00						3961	3970		
137	36662.00						3979	3982		
138	36663.00						3990	3992		
139	36664.00						4002	4003		
140	36665.00						4015	4026		
141	36666.00						4028	4031		
142	36667.00						4041	4044		
143	36668.00						4057	4073		
144	36669.00						4181	4213		
145	36670.00						4235	4244		
146	36671.00						4249	4373		
147	36672.00						4382	4389		
148	36673.00						4400	4404		
149	36674.00						4407	4409		
150	36675.00						4424	4449		
